Order_ID,Order_Date,Region,State,Segment,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit,Month,Year,Profit_Margin_Percent
ORD-00067,2025-09-19,East,Odisha,Consumer,Office Supplies,Binders,4,752.67,0.05,2860.13,682.39,2025-09,2025,23.86
ORD-00068,2025-12-23,South,Telangana,Consumer,Furniture,Bookcases,1,11954.95,0.1,10759.45,1396.11,2025-12,2025,12.98
ORD-00069,2025-02-06,South,Telangana,Corporate,Office Supplies,Binders,8,791.59,0.15,5382.84,748.52,2025-02,2025,13.91
ORD-00070,2025-02-28,Central,Madhya Pradesh,Corporate,Technology,Phones,2,13704.19,0.0,27408.39,8270.21,2025-02,2025,30.17
ORD-00071,2025-03-23,East,Odisha,Consumer,Office Supplies,Storage,5,4376.83,0.05,20789.95,6498.9,2025-03,2025,31.26
ORD-00072,2025-11-15,North,Haryana,Corporate,Office Supplies,Binders,4,376.71,0.15,1280.8,364.64,2025-11,2025,28.47
ORD-00073,2025-10-12,North,Haryana,Consumer,Technology,Phones,5,10774.32,0.05,51178.04,7816.15,2025-10,2025,15.27
ORD-00074,2025-10-12,East,Odisha,Consumer,Office Supplies,Paper,3,222.59,0.0,667.78,199.54,2025-10,2025,29.88
ORD-00075,2025-01-15,East,Bihar,Corporate,Technology,Phones,2,40252.54,0.05,76479.82,11185.1,2025-01,2025,14.62
ORD-00076,2025-06-30,Central,Chhattisgarh,Consumer,Furniture,Tables,6,7207.08,0.1,38918.25,7085.94,2025-06,2025,18.21
ORD-00077,2025-07-24,South,Telangana,Consumer,Technology,Laptops,7,74419.03,0.05,494886.56,61204.37,2025-07,2025,12.37
ORD-00078,2025-11-06,West,Maharashtra,Consumer,Furniture,Tables,2,9330.32,0.1,16794.57,693.78,2025-11,2025,4.13
ORD-00079,2025-12-26,West,Rajasthan,Home Office,Office Supplies,Binders,7,589.81,0.05,3922.21,567.26,2025-12,2025,14.46
ORD-00080,2025-01-03,South,Tamil Nadu,Corporate,Office Supplies,Storage,4,3895.93,0.05,14804.52,3420.92,2025-01,2025,23.11
ORD-00081,2025-07-30,South,Tamil Nadu,Corporate,Furniture,Bookcases,2,5503.22,0.05,10456.12,2792.52,2025-07,2025,26.71
ORD-00082,2025-01-20,West,Gujarat,Consumer,Office Supplies,Binders,5,327.08,0.05,1553.65,358.42,2025-01,2025,23.07
ORD-00083,2025-10-09,East,Odisha,Home Office,Technology,Laptops,7,39147.97,0.1,246632.19,44993.02,2025-10,2025,18.24
ORD-00084,2025-01-28,South,Telangana,Corporate,Technology,Phones,8,23883.09,0.05,181511.5,43122.93,2025-01,2025,23.76
ORD-00085,2025-01-01,South,Andhra Pradesh,Corporate,Technology,Phones,7,33233.16,0.0,232632.11,52629.27,2025-01,2025,22.62
ORD-00086,2025-01-20,South,Telangana,Consumer,Technology,Laptops,3,65434.09,0.15,166856.93,30192.42,2025-01,2025,18.09
ORD-00087,2025-06-27,North,Punjab,Consumer,Technology,Laptops,8,78973.94,0.1,568612.33,179525.84,2025-06,2025,31.57
ORD-00088,2025-04-24,South,Andhra Pradesh,Consumer,Office Supplies,Binders,8,561.75,0.05,4269.29,783.94,2025-04,2025,18.36
ORD-00089,2025-06-10,North,Uttar Pradesh,Corporate,Office Supplies,Binders,1,802.31,0.0,802.31,143.91,2025-06,2025,17.94
ORD-00090,2025-03-30,North,Delhi,Corporate,Furniture,Bookcases,3,4341.75,0.05,12374.0,2424.77,2025-03,2025,19.6
ORD-00091,2025-10-09,Central,Chhattisgarh,Corporate,Furniture,Chairs,1,7569.22,0.0,7569.22,1204.68,2025-10,2025,15.92
ORD-00092,2025-12-02,West,Rajasthan,Consumer,Technology,Accessories,4,1057.81,0.0,4231.26,642.88,2025-12,2025,15.19
ORD-00093,2025-03-18,North,Delhi,Corporate,Furniture,Bookcases,2,14054.15,0.0,28108.31,6332.8,2025-03,2025,22.53
ORD-00094,2025-02-16,Central,Madhya Pradesh,Home Office,Furniture,Chairs,1,5927.34,0.1,5334.61,1548.29,2025-02,2025,29.02
ORD-00095,2025-06-16,West,Gujarat,Consumer,Office Supplies,Paper,2,199.73,0.05,379.48,33.07,2025-06,2025,8.71
ORD-00096,2025-09-11,South,Tamil Nadu,Corporate,Technology,Phones,2,24986.99,0.0,49973.97,6853.01,2025-09,2025,13.71
ORD-00097,2025-12-19,West,Maharashtra,Consumer,Technology,Accessories,7,871.87,0.0,6103.08,608.7,2025-12,2025,9.97
ORD-00098,2025-08-03,North,Punjab,Consumer,Furniture,Tables,4,13815.07,0.1,49734.24,9425.35,2025-08,2025,18.95
ORD-00099,2025-05-16,East,Odisha,Consumer,Technology,Accessories,5,1840.11,0.05,8740.53,1327.34,2025-05,2025,15.19
ORD-00100,2025-05-22,South,Karnataka,Consumer,Technology,Laptops,2,68228.13,0.2,109165.02,28414.02,2025-05,2025,26.03
ORD-00101,2025-01-12,Central,Chhattisgarh,Consumer,Furniture,Chairs,8,4513.83,0.2,28888.54,5910.83,2025-01,2025,20.46
ORD-00102,2025-09-23,East,West Bengal,Home Office,Furniture,Chairs,6,5516.55,0.05,31444.33,5235.8,2025-09,2025,16.65
ORD-00103,2025-06-22,West,Maharashtra,Consumer,Office Supplies,Paper,7,319.1,0.2,1786.94,23.06,2025-06,2025,1.29
ORD-00104,2025-03-24,South,Telangana,Consumer,Technology,Laptops,7,38737.51,0.0,271162.56,39628.26,2025-03,2025,14.61
ORD-00105,2025-04-26,North,Uttar Pradesh,Consumer,Technology,Accessories,6,4731.18,0.0,28387.06,6445.62,2025-04,2025,22.71
ORD-00106,2025-03-06,North,Punjab,Consumer,Technology,Phones,5,43585.18,0.0,217925.91,58288.95,2025-03,2025,26.75
ORD-00107,2025-08-20,East,West Bengal,Consumer,Furniture,Tables,2,13789.82,0.15,23442.69,4273.5,2025-08,2025,18.23
ORD-00108,2025-07-22,North,Uttar Pradesh,Corporate,Office Supplies,Binders,4,130.42,0.1,469.5,66.23,2025-07,2025,14.11
ORD-00109,2025-01-17,Central,Madhya Pradesh,Consumer,Furniture,Bookcases,3,9820.58,0.0,29461.75,6567.95,2025-01,2025,22.29
ORD-00110,2025-12-03,South,Tamil Nadu,Consumer,Technology,Phones,2,10364.97,0.05,19693.44,2812.05,2025-12,2025,14.28
ORD-00111,2025-09-26,West,Rajasthan,Consumer,Furniture,Tables,7,11926.24,0.1,75135.32,13398.09,2025-09,2025,17.83
ORD-00112,2025-05-02,East,Bihar,Consumer,Office Supplies,Binders,5,241.94,0.2,967.77,95.46,2025-05,2025,9.86
ORD-00113,2025-09-15,South,Karnataka,Consumer,Technology,Laptops,3,55543.02,0.05,158297.6,46765.49,2025-09,2025,29.54
ORD-00114,2025-08-17,South,Andhra Pradesh,Corporate,Furniture,Chairs,3,10100.67,0.0,30302.02,8386.34,2025-08,2025,27.68
ORD-00115,2025-03-27,East,Odisha,Consumer,Technology,Phones,1,43532.57,0.1,39179.31,11645.63,2025-03,2025,29.72
ORD-00116,2025-08-15,South,Andhra Pradesh,Consumer,Furniture,Bookcases,6,9366.26,0.1,50577.81,6603.48,2025-08,2025,13.06
ORD-00117,2025-01-24,West,Gujarat,Consumer,Furniture,Bookcases,6,12989.0,0.1,70140.61,7096.26,2025-01,2025,10.12
ORD-00118,2025-04-23,West,Rajasthan,Home Office,Office Supplies,Binders,5,697.78,0.0,3488.88,434.49,2025-04,2025,12.45
ORD-00119,2025-09-16,South,Telangana,Consumer,Furniture,Tables,1,7544.81,0.2,6035.85,1395.51,2025-09,2025,23.12
ORD-00120,2025-03-31,South,Karnataka,Consumer,Office Supplies,Storage,1,2128.9,0.0,2128.9,270.92,2025-03,2025,12.73
ORD-00121,2025-06-12,South,Andhra Pradesh,Consumer,Technology,Laptops,1,38921.97,0.0,38921.97,11675.29,2025-06,2025,30.0
ORD-00122,2025-06-09,West,Rajasthan,Consumer,Office Supplies,Binders,4,252.95,0.2,809.45,186.71,2025-06,2025,23.07
ORD-00123,2025-06-10,South,Tamil Nadu,Corporate,Furniture,Chairs,7,6337.79,0.15,37709.85,6626.61,2025-06,2025,17.57
ORD-00124,2025-01-05,Central,Chhattisgarh,Consumer,Technology,Laptops,8,79957.02,0.0,639656.18,188332.14,2025-01,2025,29.44
ORD-00125,2025-06-03,North,Punjab,Consumer,Office Supplies,Storage,5,1242.51,0.0,6212.57,1096.43,2025-06,2025,17.65
ORD-00126,2025-02-11,North,Punjab,Corporate,Furniture,Bookcases,2,7601.72,0.05,14443.26,2298.91,2025-02,2025,15.92
ORD-00127,2025-08-26,West,Gujarat,Corporate,Furniture,Tables,7,11345.19,0.1,71474.7,6199.06,2025-08,2025,8.67
ORD-00128,2025-09-03,Central,Madhya Pradesh,Consumer,Office Supplies,Paper,1,164.36,0.05,156.14,35.21,2025-09,2025,22.55
ORD-00129,2025-10-08,East,Odisha,Home Office,Technology,Phones,4,40036.2,0.05,152137.55,43458.07,2025-10,2025,28.56
ORD-00130,2025-10-13,South,Telangana,Consumer,Technology,Laptops,5,89321.59,0.15,379616.77,53448.13,2025-10,2025,14.08
ORD-00131,2025-10-16,South,Tamil Nadu,Corporate,Technology,Accessories,4,4104.05,0.0,16416.21,2194.87,2025-10,2025,13.37
ORD-00132,2025-11-09,North,Punjab,Corporate,Office Supplies,Binders,3,411.81,0.0,1235.42,180.09,2025-11,2025,14.58
ORD-00133,2025-05-27,Central,Chhattisgarh,Consumer,Furniture,Chairs,8,9223.04,0.05,70095.1,16250.63,2025-05,2025,23.18
ORD-00134,2025-05-04,East,Bihar,Consumer,Office Supplies,Paper,5,234.56,0.1,1055.54,136.83,2025-05,2025,12.96
ORD-00135,2025-03-09,Central,Chhattisgarh,Consumer,Office Supplies,Paper,8,524.96,0.0,4199.7,1202.27,2025-03,2025,28.63
ORD-00136,2025-06-21,South,Telangana,Corporate,Furniture,Chairs,1,9097.28,0.0,9097.28,1402.04,2025-06,2025,15.41
ORD-00137,2025-01-21,West,Maharashtra,Consumer,Office Supplies,Storage,4,2712.77,0.15,9223.41,440.88,2025-01,2025,4.78
ORD-00138,2025-09-19,South,Tamil Nadu,Home Office,Technology,Laptops,5,72351.18,0.15,307492.52,79574.43,2025-09,2025,25.88
ORD-00139,2025-12-19,North,Delhi,Consumer,Furniture,Tables,6,6036.82,0.1,32598.82,10384.79,2025-12,2025,31.86
ORD-00140,2025-11-29,Central,Madhya Pradesh,Consumer,Furniture,Bookcases,8,14471.38,0.1,104193.94,29790.87,2025-11,2025,28.59
ORD-00141,2025-06-26,West,Gujarat,Corporate,Technology,Laptops,4,42261.5,0.1,152141.4,16861.49,2025-06,2025,11.08
ORD-00142,2025-09-23,West,Rajasthan,Consumer,Office Supplies,Binders,3,109.37,0.05,311.69,59.96,2025-09,2025,19.24
ORD-00143,2025-08-01,East,Bihar,Corporate,Technology,Accessories,6,2864.62,0.1,15468.95,4509.39,2025-08,2025,29.15
ORD-00144,2025-12-01,East,Bihar,Consumer,Technology,Laptops,6,76304.3,0.0,457825.81,114073.93,2025-12,2025,24.92
ORD-00145,2025-05-06,West,Maharashtra,Consumer,Office Supplies,Binders,8,122.03,0.0,976.24,83.6,2025-05,2025,8.56
ORD-00146,2025-08-22,North,Punjab,Consumer,Office Supplies,Storage,2,2155.51,0.2,3448.81,579.04,2025-08,2025,16.79
ORD-00147,2025-04-19,Central,Chhattisgarh,Consumer,Furniture,Chairs,5,6684.19,0.0,33420.96,10470.24,2025-04,2025,31.33
ORD-00148,2025-12-25,West,Maharashtra,Consumer,Furniture,Chairs,7,9478.49,0.0,66349.43,13319.62,2025-12,2025,20.07
ORD-00149,2025-05-27,South,Karnataka,Consumer,Office Supplies,Storage,7,1499.34,0.05,9970.62,3152.68,2025-05,2025,31.62
ORD-00150,2025-08-24,East,Odisha,Consumer,Furniture,Tables,3,11146.39,0.1,30095.26,8213.16,2025-08,2025,27.29
ORD-00151,2025-09-17,East,Bihar,Consumer,Technology,Phones,5,25370.24,0.0,126851.22,27319.78,2025-09,2025,21.54
ORD-00152,2025-12-15,South,Karnataka,Corporate,Office Supplies,Paper,5,431.95,0.0,2159.74,265.35,2025-12,2025,12.29
ORD-00153,2025-03-06,North,Delhi,Consumer,Office Supplies,Binders,8,490.1,0.0,3920.82,522.26,2025-03,2025,13.32
ORD-00154,2025-12-21,West,Gujarat,Corporate,Office Supplies,Binders,5,665.67,0.0,3328.35,408.69,2025-12,2025,12.28
ORD-00155,2025-10-22,North,Haryana,Consumer,Office Supplies,Paper,6,416.87,0.15,2126.01,405.25,2025-10,2025,19.06
ORD-00156,2025-03-15,West,Gujarat,Consumer,Technology,Laptops,4,53191.64,0.15,180851.59,29702.18,2025-03,2025,16.42
ORD-00157,2025-12-27,East,Bihar,Consumer,Technology,Phones,2,35026.36,0.1,63047.44,9204.04,2025-12,2025,14.6
ORD-00158,2025-05-17,East,Odisha,Consumer,Office Supplies,Binders,6,606.17,0.0,3637.02,955.11,2025-05,2025,26.26
ORD-00159,2025-01-13,South,Tamil Nadu,Corporate,Office Supplies,Binders,1,865.44,0.05,822.17,133.01,2025-01,2025,16.18
ORD-00160,2025-08-15,North,Uttar Pradesh,Consumer,Office Supplies,Binders,5,736.99,0.0,3684.96,1128.19,2025-08,2025,30.62
ORD-00161,2025-10-19,East,Odisha,Corporate,Furniture,Chairs,6,5993.97,0.0,35963.8,7042.39,2025-10,2025,19.58
ORD-00162,2025-10-07,East,West Bengal,Consumer,Technology,Laptops,3,66856.26,0.1,180511.9,49565.73,2025-10,2025,27.46
ORD-00163,2025-04-14,South,Tamil Nadu,Consumer,Technology,Phones,7,38250.44,0.0,267753.11,48184.88,2025-04,2025,18.0
ORD-00164,2025-05-15,Central,Madhya Pradesh,Corporate,Technology,Accessories,7,2689.03,0.05,17882.04,2352.72,2025-05,2025,13.16
ORD-00165,2025-03-31,Central,Madhya Pradesh,Corporate,Office Supplies,Paper,8,380.72,0.1,2741.15,677.59,2025-03,2025,24.72
ORD-00166,2025-12-17,West,Rajasthan,Home Office,Office Supplies,Storage,8,1009.45,0.0,8075.6,703.44,2025-12,2025,8.71
ORD-00167,2025-08-12,West,Maharashtra,Consumer,Office Supplies,Paper,6,546.79,0.0,3280.74,794.24,2025-08,2025,24.21
ORD-00168,2025-12-17,South,Andhra Pradesh,Consumer,Technology,Accessories,8,3632.47,0.0,29059.75,8093.69,2025-12,2025,27.85
ORD-00169,2025-02-28,North,Delhi,Home Office,Office Supplies,Binders,2,633.28,0.1,1139.9,250.53,2025-02,2025,21.98
ORD-00170,2025-05-17,East,West Bengal,Corporate,Furniture,Tables,5,5787.89,0.0,28939.45,5144.77,2025-05,2025,17.78
ORD-00171,2025-09-05,Central,Chhattisgarh,Corporate,Office Supplies,Binders,1,597.63,0.05,567.75,115.32,2025-09,2025,20.31
ORD-00172,2025-04-24,Central,Chhattisgarh,Consumer,Office Supplies,Storage,3,3447.63,0.0,10342.88,1916.2,2025-04,2025,18.53
ORD-00173,2025-04-19,North,Haryana,Home Office,Office Supplies,Paper,5,388.78,0.05,1846.69,356.17,2025-04,2025,19.29
ORD-00174,2025-09-28,Central,Madhya Pradesh,Corporate,Furniture,Bookcases,5,8827.88,0.0,44139.39,10122.93,2025-09,2025,22.93
ORD-00175,2025-06-18,South,Telangana,Consumer,Technology,Laptops,2,47214.7,0.05,89707.94,18227.65,2025-06,2025,20.32
ORD-00176,2025-12-09,West,Gujarat,Consumer,Technology,Phones,3,16356.49,0.0,49069.47,6832.77,2025-12,2025,13.92
ORD-00177,2025-06-11,East,West Bengal,Consumer,Technology,Laptops,1,52793.59,0.1,47514.24,12327.18,2025-06,2025,25.94
ORD-00178,2025-04-06,South,Andhra Pradesh,Consumer,Office Supplies,Storage,5,4095.5,0.1,18429.74,4283.34,2025-04,2025,23.24
ORD-00179,2025-07-02,West,Maharashtra,Consumer,Furniture,Bookcases,8,11592.55,0.1,83466.34,17125.25,2025-07,2025,20.52
ORD-00180,2025-06-17,South,Telangana,Consumer,Technology,Laptops,8,68162.42,0.1,490769.46,137089.71,2025-06,2025,27.93
ORD-00181,2025-01-07,North,Haryana,Home Office,Furniture,Bookcases,2,5701.42,0.15,9692.41,2046.08,2025-01,2025,21.11
ORD-00182,2025-02-28,North,Punjab,Corporate,Furniture,Bookcases,3,10771.24,0.0,32313.73,5673.34,2025-02,2025,17.56
ORD-00183,2025-12-04,Central,Madhya Pradesh,Consumer,Office Supplies,Paper,2,260.19,0.0,520.39,83.82,2025-12,2025,16.11
ORD-00184,2025-12-11,East,Odisha,Corporate,Technology,Laptops,2,39618.77,0.0,79237.54,9747.97,2025-12,2025,12.3
ORD-00185,2025-11-19,North,Haryana,Corporate,Office Supplies,Binders,6,223.86,0.15,1141.7,149.02,2025-11,2025,13.05
ORD-00186,2025-10-05,West,Gujarat,Consumer,Office Supplies,Binders,4,691.53,0.05,2627.8,540.46,2025-10,2025,20.57
ORD-00187,2025-09-01,East,Bihar,Consumer,Office Supplies,Storage,5,3873.77,0.1,17431.98,2266.22,2025-09,2025,13.0
ORD-00188,2025-02-16,South,Telangana,Consumer,Technology,Phones,2,12188.42,0.1,21939.16,6725.28,2025-02,2025,30.65
ORD-00189,2025-03-18,East,Bihar,Consumer,Furniture,Chairs,3,11247.28,0.1,30367.66,8426.34,2025-03,2025,27.75
ORD-00190,2025-12-07,North,Punjab,Consumer,Technology,Laptops,4,43663.26,0.0,174653.03,37359.18,2025-12,2025,21.39
ORD-00191,2025-03-29,Central,Madhya Pradesh,Consumer,Technology,Accessories,2,1115.34,0.05,2119.15,595.84,2025-03,2025,28.12
ORD-00192,2025-05-09,North,Uttar Pradesh,Consumer,Furniture,Tables,5,7416.81,0.0,37084.06,6169.18,2025-05,2025,16.64
ORD-00193,2025-08-01,Central,Chhattisgarh,Consumer,Furniture,Bookcases,1,8550.92,0.0,8550.92,2212.89,2025-08,2025,25.88
ORD-00194,2025-04-22,South,Telangana,Corporate,Office Supplies,Binders,6,805.33,0.05,4590.38,659.56,2025-04,2025,14.37
ORD-00195,2025-08-22,West,Gujarat,Consumer,Technology,Accessories,3,3645.52,0.1,9842.9,962.68,2025-08,2025,9.78
ORD-00196,2025-05-21,Central,Chhattisgarh,Consumer,Technology,Accessories,1,2915.03,0.2,2332.02,572.04,2025-05,2025,24.53
ORD-00197,2025-03-03,East,West Bengal,Corporate,Office Supplies,Storage,5,1756.15,0.0,8780.76,1555.09,2025-03,2025,17.71
